Entity,Year,Total number of international immigrants
Micronesia (country),2010,2806
Micronesia (country),2015,2756
Micronesia (country),2020,2832
Middle Africa,1990,1461155
Middle Africa,1995,2662490
Middle Africa,2000,1775284
Middle Africa,2005,1961951
Middle Africa,2010,2436802
Middle Africa,2015,3479911
Middle Africa,2020,3861568
Middle-income countries,1990,67228996
Middle-income countries,1995,64071357
Middle-income countries,2000,63873275
Middle-income countries,2005,64747471
Middle-income countries,2010,69069732
Middle-income countries,2015,78597464
Middle-income countries,2020,85895533
Moldova,1990,544162
Moldova,1995,367231
Moldova,2000,247828
Moldova,2005,171122
Moldova,2010,129488
Moldova,2015,106374
Moldova,2020,104438
Monaco,1990,20359
Monaco,1995,21060
Monaco,2000,21787
Monaco,2005,21312
Monaco,2010,21132
Monaco,2015,25983
Monaco,2020,26601
Mongolia,1990,6718
Mongolia,1995,7424
Mongolia,2000,8206
Mongolia,2005,11477
Mongolia,2010,16062
Mongolia,2015,19886
Mongolia,2020,21345
Montenegro,2010,78512
Montenegro,2015,71719
Montenegro,2020,70999
Montserrat,1990,2013
Montserrat,1995,1612
Montserrat,2000,1211
Montserrat,2005,1244
Montserrat,2010,1291
Montserrat,2015,1351
Montserrat,2020,1379
Morocco,1990,54895
Morocco,1995,50360
Morocco,2000,53034
Morocco,2005,56222
Morocco,2010,71189
Morocco,2015,92424
Morocco,2020,102358
Mozambique,1990,122332
Mozambique,1995,168256
Mozambique,2000,195702
Mozambique,2005,268694
Mozambique,2010,306471
Mozambique,2015,321794
Mozambique,2020,338850
Myanmar,1990,133545
Myanmar,1995,113663
Myanmar,2000,98011
Myanmar,2005,83025
Myanmar,2010,76414
Myanmar,2015,73309
Myanmar,2020,76446
Namibia,1990,120641
Namibia,1995,115372
Namibia,2000,135547
Namibia,2005,107347
Namibia,2010,103826
Namibia,2015,101618
Namibia,2020,109391
Nauru,1990,2815
Nauru,1995,2605
Nauru,2000,2394
Nauru,2005,2253
Nauru,2010,906
Nauru,2015,1833
Nauru,2020,2201
Nepal,1990,429974
Nepal,1995,690225
Nepal,2000,717900
Nepal,2005,680729
Nepal,2010,581889
Nepal,2015,509471
Nepal,2020,487564
Netherlands,1990,1182263
Netherlands,1995,1346164
Netherlands,2000,1556337
Netherlands,2005,1736127
Netherlands,2010,1832510
Netherlands,2015,1996318
Netherlands,2020,2358333
New Caledonia,1990,37673
New Caledonia,1995,43662
New Caledonia,2000,49651
New Caledonia,2005,55405
New Caledonia,2010,61158
New Caledonia,2015,68881
New Caledonia,2020,73141
New Zealand,1990,518047
New Zealand,1995,588617
New Zealand,2000,678813
New Zealand,2005,839952
New Zealand,2010,947443
New Zealand,2015,1039736
New Zealand,2020,1381724
Nicaragua,1990,41421
Nicaragua,1995,26619
Nicaragua,2000,30389
Nicaragua,2005,34919
Nicaragua,2010,37345
Nicaragua,2015,40261
Nicaragua,2020,42167
Niger,1990,115464
Niger,1995,145999
Niger,2000,122260
Niger,2005,124509
Niger,2010,126482
Niger,2015,252998
Niger,2020,348056
Nigeria,1990,456621
Nigeria,1995,462999
Nigeria,2000,487882
Nigeria,2005,969714
Nigeria,2010,990494
Nigeria,2015,1199115
Nigeria,2020,1308568
Niue,1990,461
Niue,1995,480
Niue,2000,498
Niue,2005,522
Niue,2010,589
Niue,2015,588
Niue,2020,588
North Korea,1990,34103
North Korea,1995,35143
North Korea,2000,36183
North Korea,2005,40097
North Korea,2010,44010
North Korea,2015,48458
North Korea,2020,49549
North Macedonia,1990,95142
North Macedonia,1995,109343
North Macedonia,2000,125665
North Macedonia,2005,127667
North Macedonia,2010,129701
North Macedonia,2015,130730
North Macedonia,2020,131311
Northern Africa,1990,2403325
Northern Africa,1995,2081640
Northern Africa,2000,1900448
Northern Africa,2005,1749718
Northern Africa,2010,1952040
Northern Africa,2015,2138918
Northern Africa,2020,3167926
Northern Africa and Western Asia,1990,17608769
Northern Africa and Western Asia,1995,18912064
Northern Africa and Western Asia,2000,20321397
Northern Africa and Western Asia,2005,23165804
Northern Africa and Western Asia,2010,32638434
Northern Africa and Western Asia,2015,42036092
Northern Africa and Western Asia,2020,49767746
Northern America,1990,27610408
Northern America,1995,33340948
Northern America,2000,40351710
Northern America,2005,45363089
Northern America,2010,50970524
Northern America,2015,55633741
Northern America,2020,58708795
Northern Europe,1990,6645605
Northern Europe,1995,7194824
Northern Europe,2000,7900973
Northern Europe,2005,9588814
Northern Europe,2010,11294937
Northern Europe,2015,13191086
Northern Europe,2020,14973861
Northern Mariana Islands,1990,26593
Northern Mariana Islands,1995,32376
Northern Mariana Islands,2000,40122
Northern Mariana Islands,2005,37542
Northern Mariana Islands,2010,24168
Northern Mariana Islands,2015,21648
Northern Mariana Islands,2020,21843
Norway,1990,192587
Norway,1995,233302
Norway,2000,292440
Norway,2005,361144
Norway,2010,524601
Norway,2015,746375
Norway,2020,852238
Oceania,1990,4731938
Oceania,1995,5022527
Oceania,2000,5361681
Oceania,2005,6024021
Oceania,2010,7128598
Oceania,2015,8072276
Oceania,2020,9380653
Oceania (excluding Australia and New Zealand),1990,258678
Oceania (excluding Australia and New Zealand),1995,280580
Oceania (excluding Australia and New Zealand),2000,296618
Oceania (excluding Australia and New Zealand),2005,306039
Oceania (excluding Australia and New Zealand),2010,298175
Oceania (excluding Australia and New Zealand),2015,302810
Oceania (excluding Australia and New Zealand),2020,313069
Oman,1990,304000
Oman,1995,539643
Oman,2000,623608
Oman,2005,666164
Oman,2010,816234
Oman,2015,1856226
Oman,2020,2372836
Pakistan,1990,6208204
Pakistan,1995,3669308
Pakistan,2000,4181912
Pakistan,2005,3174558
Pakistan,2010,3943681
Pakistan,2015,3506520
Pakistan,2020,3276580
Palau,1990,2801
Palau,1995,4749
Palau,2000,6310
Palau,2005,6043
Palau,2010,5490
Palau,2015,4937
Palau,2020,5088
Palestine,1990,288332
Palestine,1995,281767
Palestine,2000,275202
Palestine,2005,274520
Palestine,2010,273840
Palestine,2015,273163
Palestine,2020,272784
Panama,1990,62744
Panama,1995,70848
Panama,2000,83410
Panama,2005,109461
Panama,2010,157788
Panama,2015,184710
Panama,2020,313165
Papua New Guinea,1990,33710
Papua New Guinea,1995,33526
Papua New Guinea,2000,26304
Papua New Guinea,2005,29971
Papua New Guinea,2010,30425
Papua New Guinea,2015,30940
Papua New Guinea,2020,31068
Paraguay,1990,195884
Paraguay,1995,186570
Paraguay,2000,176608
Paraguay,2005,168243
Paraguay,2010,160299
Paraguay,2015,156462
Paraguay,2020,169567
Peru,1990,56688
Peru,1995,56732
Peru,2000,66300
Peru,2005,77877
Peru,2010,104706
Peru,2015,154774
Peru,2020,1224519
Philippines,1990,154071
Philippines,1995,207345
Philippines,2000,318095
Philippines,2005,257468
Philippines,2010,208599
Philippines,2015,211862
Philippines,2020,225525
Poland,1990,1127771
Poland,1995,964725
Poland,2000,825251
Poland,2005,722509
Poland,2010,642417
Poland,2015,611855
Poland,2020,817254
Polynesia,1990,58509
Polynesia,1995,65065
Polynesia,2000,71151
Polynesia,2005,73768
Polynesia,2010,72741
Polynesia,2015,70001
Polynesia,2020,70136
Portugal,1990,435782
Portugal,1995,532822
Portugal,2000,651472
Portugal,2005,771184
Portugal,2010,762825
Portugal,2015,864814
Portugal,2020,1001963
Puerto Rico,1990,321909
Puerto Rico,1995,338067
Puerto Rico,2000,355038
Puerto Rico,2005,352144
Puerto Rico,2010,304969
Puerto Rico,2015,280494
Puerto Rico,2020,247132
Qatar,1990,309753
Qatar,1995,361673
Qatar,2000,359697
Qatar,2005,646026
Qatar,2010,1456413
Qatar,2015,1687640
Qatar,2020,2226192
Reunion,1990,57210
Reunion,1995,77159
Reunion,2000,100678
Reunion,2005,115076
Reunion,2010,123029
Reunion,2015,127209
Reunion,2020,131769
Romania,1990,135825
Romania,1995,135037
Romania,2000,134254
Romania,2005,145162
Romania,2010,177211
Romania,2015,281048
Romania,2020,705310
Russia,1990,11524948
Russia,1995,11928927
Russia,2000,11900297
Russia,2005,11667588
Russia,2010,11194710
Russia,2015,11643276
Russia,2020,11636911
Rwanda,1990,160024
Rwanda,1995,215735
Rwanda,2000,347076
Rwanda,2005,423187
Rwanda,2010,426901
Rwanda,2015,514647
Rwanda,2020,513907
Saint Helena,1990,178
Saint Helena,1995,117
Saint Helena,2000,108
Saint Helena,2005,163
Saint Helena,2010,248
Saint Helena,2015,377
Saint Helena,2020,437
Saint Kitts and Nevis,1990,3210
Saint Kitts and Nevis,1995,4248
Saint Kitts and Nevis,2000,5871
Saint Kitts and Nevis,2005,6682
Saint Kitts and Nevis,2010,7245
Saint Kitts and Nevis,2015,7443
Saint Kitts and Nevis,2020,7725
Saint Lucia,1990,5305
Saint Lucia,1995,7155
Saint Lucia,2000,9871
Saint Lucia,2005,9839
Saint Lucia,2010,9050
Saint Lucia,2015,8673
Saint Lucia,2020,8338
Saint Pierre and Miquelon,1990,1099
Saint Pierre and Miquelon,1995,1320
Saint Pierre and Miquelon,2000,1458
Saint Pierre and Miquelon,2005,1147
Saint Pierre and Miquelon,2010,1017
Saint Pierre and Miquelon,2015,986
Saint Pierre and Miquelon,2020,998
Saint Vincent and the Grenadines,1990,3970
Saint Vincent and the Grenadines,1995,4135
Saint Vincent and the Grenadines,2000,4307
Saint Vincent and the Grenadines,2005,4436
Saint Vincent and the Grenadines,2010,4569
Saint Vincent and the Grenadines,2015,4637
Saint Vincent and the Grenadines,2020,4738
Samoa,1990,3357
Samoa,1995,4694
Samoa,2000,5998
Samoa,2005,5746
Samoa,2010,5122
Samoa,2015,4255
Samoa,2020,4021
San Marino,1990,3310
San Marino,1995,3659
San Marino,2000,4045
San Marino,2005,4218
San Marino,2010,4880
San Marino,2015,5195
San Marino,2020,5543
Sao Tome and Principe,1990,5582
Sao Tome and Principe,1995,4936
Sao Tome and Principe,2000,4365
Sao Tome and Principe,2005,3433
Sao Tome and Principe,2010,2700
Sao Tome and Principe,2015,2394
Sao Tome and Principe,2020,2139
Saudi Arabia,1990,4998445
Saudi Arabia,1995,5122702
Saudi Arabia,2000,5263387
Saudi Arabia,2005,6501819
Saudi Arabia,2010,8429956
Saudi Arabia,2015,10771366
Saudi Arabia,2020,13454842
Senegal,1990,270410
Senegal,1995,287654
Senegal,2000,231901
Senegal,2005,238298
Senegal,2010,256092
Senegal,2015,266496
Senegal,2020,274929
Serbia,1990,99269
Serbia,1995,870980
Serbia,2000,977873
Serbia,2005,854848
Serbia,2010,826275
Serbia,2015,807441
Serbia,2020,823011
Seychelles,1990,3721
Seychelles,1995,5148
Seychelles,2000,6574
Seychelles,2005,8997
Seychelles,2010,11420
Seychelles,2015,12791
Seychelles,2020,13050
Sierra Leone,1990,222148
Sierra Leone,1995,98516
Sierra Leone,2000,97974
Sierra Leone,2005,146227
Sierra Leone,2010,79265
Sierra Leone,2015,58830
Sierra Leone,2020,53746
Singapore,1990,727262
Singapore,1995,991492
Singapore,2000,1351691
Singapore,2005,1710594
Singapore,2010,2164794
Singapore,2015,2483405
Singapore,2020,2523648
Sint Maarten (Dutch part),2005,13099
Sint Maarten (Dutch part),2010,26203
Sint Maarten (Dutch part),2015,27295
Sint Maarten (Dutch part),2020,28845
Slovakia,1990,41295
Slovakia,1995,69323
Slovakia,2000,116376
Slovakia,2005,130491
Slovakia,2010,146319
Slovakia,2015,177624
Slovakia,2020,197161
Slovenia,1990,178077
Slovenia,1995,174419
Slovenia,2000,214508
Slovenia,2005,217218
Slovenia,2010,253786
Slovenia,2015,237616
Slovenia,2020,277964
Small island developing States (SIDS),1990,2312665
Small island developing States (SIDS),1995,2758806
Small island developing States (SIDS),2000,3287168
Small island developing States (SIDS),2005,3918084
Small island developing States (SIDS),2010,4710457
Small island developing States (SIDS),2015,5273967
Small island developing States (SIDS),2020,5678001
Solomon Islands,1990,4226
Solomon Islands,1995,4178
Solomon Islands,2000,3981
Solomon Islands,2005,3271
Solomon Islands,2010,2760
Solomon Islands,2015,2585
Solomon Islands,2020,2520
Somalia,1990,478294
Somalia,1995,19527
Somalia,2000,20097
Somalia,2005,20768
Somalia,2010,48106
Somalia,2015,40990
Somalia,2020,58590
South Africa,1990,1163883
South Africa,1995,1003807
South Africa,2000,1016963
South Africa,2005,1351031
South Africa,2010,2114801
South Africa,2015,3231728
South Africa,2020,2860495
South America,1990,4274977
South America,1995,4241074
South America,2000,4215289
South America,2005,4530341
South America,2010,5236667
South America,2015,6080207
South America,2020,10887474
South Korea,1990,43247
South Korea,1995,123886
South Korea,2000,244224
South Korea,2005,486065
South Korea,2010,919987
South Korea,2015,1370905
South Korea,2020,1728182
South Sudan,2010,230732
South Sudan,2015,844112
South Sudan,2020,882252
South-Eastern Asia,1990,2876616
South-Eastern Asia,1995,3700057
South-Eastern Asia,2000,5113208
South-Eastern Asia,2005,6750473
South-Eastern Asia,2010,8697936
South-Eastern Asia,2015,10161147
South-Eastern Asia,2020,10615377
Southern Africa,1990,1395265
Southern Africa,1995,1201708
Southern Africa,2000,1267695
Southern Africa,2005,1582721
Southern Africa,2010,2352541
Southern Africa,2015,3477903
Southern Africa,2020,3125072
Southern Asia,1990,19537940
Southern Asia,1995,15343019
Southern Asia,2000,14950743
Southern Asia,2005,13618667
Southern Asia,2010,14411845
Southern Asia,2015,13873473
Southern Asia,2020,13863534
Southern Europe,1990,4340433
Southern Europe,1995,6230114
Southern Europe,2000,7681658
Southern Europe,2005,12004024
Southern Europe,2010,16206273
Southern Europe,2015,15815457
Southern Europe,2020,17665688
Spain,1990,821605
Spain,1995,1020067
Spain,2000,1657285
Spain,2005,4107226
Spain,2010,6280062
Spain,2015,5891208
Spain,2020,6842202
Sri Lanka,1990,41561
Sri Lanka,1995,40841
Sri Lanka,2000,40132
Sri Lanka,2005,39526
Sri Lanka,2010,38959
Sri Lanka,2015,39706
Sri Lanka,2020,40254
Sub-Saharan Africa,1990,13286341
Sub-Saharan Africa,1995,14275437
Sub-Saharan Africa,2000,13151229
Sub-Saharan Africa,2005,14290369
Sub-Saharan Africa,2010,15854637
Sub-Saharan Africa,2015,20721874
Sub-Saharan Africa,2020,22221538
Sudan,1990,1402896
Sudan,1995,1053396
Sudan,2000,805086
Sudan,2005,546419
Sudan,2010,618709
Sudan,2015,620523
Sudan,2020,1379147
Suriname,1990,18083
Suriname,1995,22320
Suriname,2000,27506
Suriname,2005,33662
Suriname,2010,39713
Suriname,2015,43127
Suriname,2020,47801
Sweden,1990,788767
Sweden,1995,936022
Sweden,2000,1003798
Sweden,2005,1125790
Sweden,2010,1337214
Sweden,2015,1602522
Sweden,2020,2003908
Switzerland,1990,1392282
Switzerland,1995,1478829
Switzerland,2000,1570756
Switzerland,2005,1805437
Switzerland,2010,2075182
Switzerland,2015,2258196
Switzerland,2020,2491249
Syria,1990,714140
Syria,1995,830610
Syria,2000,834916
Syria,2005,882398
Syria,2010,1783595
Syria,2015,835716
Syria,2020,868711
Tajikistan,1990,428900
Tajikistan,1995,348347
Tajikistan,2000,299499
Tajikistan,2005,280466
Tajikistan,2010,279808
Tajikistan,2015,275101
Tajikistan,2020,276031
Tanzania,1990,574025
Tanzania,1995,1106043
Tanzania,2000,949600
Tanzania,2005,771153
Tanzania,2010,309847
Tanzania,2015,384567
Tanzania,2020,426017
Thailand,1990,528693
Thailand,1995,809720
Thailand,2000,1257821
Thailand,2005,2195610
Thailand,2010,3234381
Thailand,2015,3470220
Thailand,2020,3632496
Togo,1990,84844
Togo,1995,101583
Togo,2000,137968
Togo,2005,204219
Togo,2010,255564
Togo,2015,277384
Togo,2020,279936
Tokelau,1990,360
Tokelau,1995,506
Tokelau,2000,712
Tokelau,2005,1003
Tokelau,2010,1128
Tokelau,2015,1185
Tokelau,2020,1238
Tonga,1990,2911
Tonga,1995,3274
Tonga,2000,3684
Tonga,2005,4301
Tonga,2010,4607
Tonga,2015,3954
Tonga,2020,3742
Trinidad and Tobago,1990,50666
Trinidad and Tobago,1995,45994
Trinidad and Tobago,2000,41753
Trinidad and Tobago,2005,44812
Trinidad and Tobago,2010,48226
Trinidad and Tobago,2015,50021
Trinidad and Tobago,2020,78849
Tunisia,1990,37984
Tunisia,1995,37867
Tunisia,2000,36719
Tunisia,2005,35040
Tunisia,2010,43172
Tunisia,2015,56532
Tunisia,2020,60145
Turkey,1990,1163686
Turkey,1995,1216173
Turkey,2000,1280963
Turkey,2005,1324108
Turkey,2010,1373749
Turkey,2015,4346197
Turkey,2020,6052652
Turkmenistan,1990,306500
Turkmenistan,1995,273565
Turkmenistan,2000,219067
Turkmenistan,2005,213053
Turkmenistan,2010,197979
Turkmenistan,2015,196376
Turkmenistan,2020,194920
Turks and Caicos Islands,1990,5062
Turks and Caicos Islands,1995,7039
Turks and Caicos Islands,2000,9015
Turks and Caicos Islands,2005,13115
Turks and Caicos Islands,2010,17216
Turks and Caicos Islands,2015,22723
Turks and Caicos Islands,2020,25748
Tuvalu,1990,318
Tuvalu,1995,263
Tuvalu,2000,218
Tuvalu,2005,209
Tuvalu,2010,220
Tuvalu,2015,230
Tuvalu,2020,239
Uganda,1990,544273
Uganda,1995,606987
Uganda,2000,584280
Uganda,2005,593308
Uganda,2010,492930
Uganda,2015,851175
Uganda,2020,1720313
Ukraine,1990,6892920
Ukraine,1995,6172338
Ukraine,2000,5527087
Ukraine,2005,5050302
Ukraine,2010,4818767
Ukraine,2015,4915142
Ukraine,2020,4997387
United Arab Emirates,1990,1306574
United Arab Emirates,1995,1824118
United Arab Emirates,2000,2447010
United Arab Emirates,2005,3281115
United Arab Emirates,2010,7316697
United Arab Emirates,2015,7995126
United Arab Emirates,2020,8716332
United Kingdom,1990,3650286
United Kingdom,1995,4155293
United Kingdom,2000,4730165
United Kingdom,2005,5926156
United Kingdom,2010,7119664
United Kingdom,2015,8406996
United Kingdom,2020,9359587
United States,1990,23251026
United States,1995,28451053
United States,2000,34814053
United States,2005,39258293
United States,2010,44183643
United States,2015,48178877
United States,2020,50632836
United States Virgin Islands,1990,51970
United States Virgin Islands,1995,54241
United States Virgin Islands,2000,56611
United States Virgin Islands,2005,56647
United States Virgin Islands,2010,56684
United States Virgin Islands,2015,56721
United States Virgin Islands,2020,56753
Upper-middle-income countries,1990,35289343
Upper-middle-income countries,1995,35213683
Upper-middle-income countries,2000,35822210
Upper-middle-income countries,2005,38209661
Upper-middle-income countries,2010,42080101
Upper-middle-income countries,2015,50991477
Upper-middle-income countries,2020,57383443
Uruguay,1990,98116
Uruguay,1995,93428
Uruguay,2000,88874
Uruguay,2005,82317
Uruguay,2010,76303
Uruguay,2015,78799
Uruguay,2020,108267
Uzbekistan,1990,1653000
Uzbekistan,1995,1512577
Uzbekistan,2000,1406498
Uzbekistan,2005,1329932
Uzbekistan,2010,1220149
Uzbekistan,2015,1170873
Uzbekistan,2020,1162007
Vanuatu,1990,2308
Vanuatu,1995,2461
Vanuatu,2000,2626
Vanuatu,2005,2800
Vanuatu,2010,2991
Vanuatu,2015,3186
Vanuatu,2020,3257
Vatican,1990,762
Vatican,1995,778
Vatican,2000,790
Vatican,2005,798
Vatican,2010,783
Vatican,2015,790
Vatican,2020,809
Venezuela,1990,1025009
Venezuela,1995,1019996
Venezuela,2000,1013738
Venezuela,2005,1076474
Venezuela,2010,1347347
Venezuela,2015,1404448
Venezuela,2020,1324193
Vietnam,1990,28118
Vietnam,1995,51262
Vietnam,2000,56754
Vietnam,2005,51768
Vietnam,2010,61756
Vietnam,2015,72793
Vietnam,2020,76767
Wallis and Futuna,1990,1402
Wallis and Futuna,1995,1704
Wallis and Futuna,2000,2015
Wallis and Futuna,2005,2191
Wallis and Futuna,2010,2111
Wallis and Futuna,2015,2050
Wallis and Futuna,2020,2040
Western Africa,1990,4470738
Western Africa,1995,5433595
Western Africa,2000,5261131
Western Africa,2005,5957048
Western Africa,2010,6321637
Western Africa,2015,7067138
Western Africa,2020,7552097
Western Asia,1990,15205444
Western Asia,1995,16830424
Western Asia,2000,18420949
Western Asia,2005,21416086
Western Asia,2010,30686394
Western Asia,2015,39897174
Western Asia,2020,46599820
Western Europe,1990,16626875
Western Europe,1995,18720765
Western Europe,2000,20840377
Western Europe,2005,22248336
Western Europe,2010,24015264
Western Europe,2015,25918551
Western Europe,2020,33231117
Western Sahara,1990,2688
Western Sahara,1995,2989
Western Sahara,2000,3289
Western Sahara,2005,3891
Western Sahara,2010,4493
Western Sahara,2015,5179
Western Sahara,2020,5424
World,1990,152986157
World,1995,161289976
World,2000,173230585
World,2005,191446828
World,2010,220983187
World,2015,247958644
World,2020,280598105
Yemen,1990,118863
Yemen,1995,136515
Yemen,2000,144940
Yemen,2005,171871
Yemen,2010,288394
Yemen,2015,379882
Yemen,2020,387113
Zambia,1990,279463
Zambia,1995,244338
Zambia,2000,343703
Zambia,2005,252895
Zambia,2010,149962
Zambia,2015,132107
Zambia,2020,187955
Zimbabwe,1990,634621
Zimbabwe,1995,431226
Zimbabwe,2000,410109
Zimbabwe,2005,402226
Zimbabwe,2010,398307
Zimbabwe,2015,400482
Zimbabwe,2020,416141
