Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
American Samoa,ASM,"Population, total",SP.POP.TOTL,20133,20666,21298,21966,22673,23406,24136,24863,25614,26375,27026,27533,27995,28436,28875,29390,29959,30521,31076,31611,32403,33584,34909,36271,37667,39103,40571,42072,43615,45191,46640,47882,49038,50159,51251,52316,53353,54362,55334,56248,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.965517241379317,0.409836065573771,-0.408163265306129,-4.09836065573771,1.85185185185186,-2.65734265734265,-4.16666666666666,0.299850074962521,0,-4.33482810164425,-2.5,1.76282051282051,3.14960629921259,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,..
Andorra,AND,Net migration,SM.POP.NETM,639,655,665,672,665,663,873,1068,1094,1124,1145,1166,1177,1203,1222,1264,1286,1285,1247,1162,1010,927,1421,1377,1291,1079,2005,1094,1697,-38,3243,4121,2061,3137,-1402,-956,154,343,94,-365,-503,155,528,4924,4248,1317,2293,1566,947,-885,-6194,-363,-2201,-1642,-1734,-1873,1415,1357,1143,1245,572,1514,1102,1061
Andorra,AND,"Population, total",SP.POP.TOTL,9510,10283,11086,11915,12764,13634,14626,15837,17176,18555,19977,21442,22957,24523,26130,27773,29436,31097,32735,34306,35782,37169,38764,40565,42273,43825,45734,47653,49416,50620,52597,56667,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,4.64946535556467,8.14974352749283,7.78846724532318,5.61878962739297,0.54220566972954,3.30378705328451,2.83857556906837,1.46300016981581,0.0415572233591206,2.20872761148199,-0.132474492519691,1.2464611381716,1.77011827083456,1.7846866722919,2.32143303428465,3.25332182847531,5.54712216113352,5.09432619448408,4.82703427244309,3.78138754899436,2.54600353080194,0.929214040125956,-1.03148438999895,2.3831822482118,2.75750161326249,4.64973866754707,9.06767205144135,3.19479339289236,4.0990789217793,3.52836236122388,8.11935772169949,4.54636221364653,8.69420371612468,8.13567633837351,5.39779598500422,4.80868869916921,1.55318814103222,-5.55918636850581,-5.30284654348291,-1.97495799965345,-0.00806975341139093,-4.97444371853503,-3.54759651549344,2.50446552114518,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319
Angola,AGO,Net migration,SM.POP.NETM,-40935,-74774,-77265,-78700,-79977,-81111,-82767,-85173,-87730,-90395,-36456,4386,47611,54650,53232,52662,47927,61110,61200,64158,72192,70910,75921,82958,78529,74738,64974,62820,65028,63586,64821,46143,53310,52879,61569,55568,61681,67944,70527,70301,72793,77458,82292,80828,90553,87050,95431,100563,100370,105077,122418,128800,130643,124478,84535,74171,91614,77731,61632,58984,7556,29094,-995,-995
Angola,AGO,"Population, total",SP.POP.TOTL,5231654,5301583,5354310,5408320,5464187,5521981,5581386,5641807,5702699,5763685,5852788,5991102,6174262,6388528,6613367,6842947,7074664,7317829,7576734,7847207,8133872,8435607,8751648,9082983,9425917,9779120,10139450,10497858,10861291,11238562,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4.40000121865044,0,4.20000142853745,6.00000216509061,3.49999949008624,2.90000174246859,4.08274863510718,6.12889047765088,0.0416214618374653,-3.45009868500253,0.991359302044742,-5.83828073313141,-23.9834174420578,1.33936343647991,15.0000000288634,13.5443697551026,7.27427735460373,4.69114645093552,2.18148971840458,3.05462423430785,4.2059985561951,13.6656887608562,2.99000000000001,10.9500000059465,15.0299999905513,11.549999997879,14.0100000086059,11.1699999942146,0.860000002152788,4.39837593810763,3.47205314798103,8.54210707584141,4.95461303112738,4.82255926962156,0.943571561325001,-2.58004964404932,-0.147212941085755,-1.31636168896895,-0.702272957616017,-5.63821471714934,1.19921052145153,3.04472652391918,1.00128936028298
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,-351,-685,-712,-738,-590,-601,-563,-481,-382,-271,-861,-1203,-1428,-1436,-1335,-1203,-1058,-942,-889,-854,-824,-810,-798,-761,-1182,-1261,-1175,-1174,-1168,-1124,-1085,225,424,507,535,555,505,489,456,386,263,139,40,32,93,196,315,371,369,338,291,243,196,145,97,44,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55603,56540,57336,58138,59020,59970,60900,61837,62809,63819,64528,64729,64615,64342,64058,63839,63762,63862,64038,64274,64513,64665,64785,64934,64882,64591,64276,63946,63623,63325,63066,63387,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.38347107438017,8.08027796880091,8.16100999614888,3.81519265600569,-0.0842510233144225,5.36377882247594,10.165158146716,7.64379528257612,11.4941979562951,6.62606394660581,5.21358203931537,5.25222622770789,3.01131852927168,2.17683300084116,1.15854079029032,5.2802679119231,6.67592079223948,-4.3593722139814,6.60486628428177,5.47119474015174,4.73122907530947,3.7077084764946,6.20349167681688,-4.54806804210732,1.027224986623,6.07689599725983,5.76673543217628,6.47391719763229,12.7080125311953,9.31533050979209,-0.0140064472754204,-11.9629660759428,-7.84043006330508,-1.95872181050282,3.37283525153347,-0.600715511931753,2.21145251322996,1.44515529873077,4.09976553877765,2.46333336590416,6.95318609219737,3.10044514982847,-18.8803992026325,8.1917184618173,9.51639564359461,3.86201218730389
Argentina,ARG,Net migration,SM.POP.NETM,20387,26322,31449,32866,34530,36083,37752,39711,42014,42688,38355,35442,36050,38589,33134,-5293,-10235,-14675,-14665,-10213,1932,16569,29616,46438,47659,46889,38586,40859,37594,26555,15719,-8537,-13201,-16455,-18723,-19815,-20486,-20651,-20326,-20220,-22775,-23687,-22674,-22450,-22381,-22068,-20109,-18099,-12517,-7882,-5003,-1117,2978,5275,5794,5464,5215,4931,5742,5397,292,314,5589,4133
Argentina,ARG,"Population, total",SP.POP.TOTL,20386045,20726276,21072538,21421705,21769453,22112629,22453893,22799059,23150583,23508711,23878327,24257208,24644328,25046005,25461351,25874107,26282283,26701805,27132158,27568895,28011596,28463959,28924262,29391332,29863093,30336441,30811980,31291762,31780532,32270948,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.42784287621933,-0.852021521903339,-5.30819682539126,10.1302976615431,10.5694333376394,-0.659726170629824,3.19199662339177,4.82250077932424,9.67952601078326,3.04564331917115,5.65813108184925,1.62841651825939,2.81175403849035,5.5338043957736,-0.0284121037110907,-2.01825151683394,6.93414775653342,-4.50612480201359,10.2227634638681,1.51878394990179,-5.18978914135593,-0.735659159103619,4.34909327926756,1.57073870182023,-5.18902435343904,6.15337706275693,2.70486882770558,-1.08993334133791,-7.15694965597953,-2.46721377810472,9.13311056738961,7.93729155643076,8.20697907221228,5.83620070368526,-2.84520961057079,5.52668982715234,8.1110467707457,3.85017885156228,-3.38545704063269,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068152,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,5.26987967384072,-1.61100162090189
Armenia,ARM,Net migration,SM.POP.NETM,11827,12102,13898,16252,19028,20809,22131,22014,20855,17128,12700,14094,15836,17425,17995,17829,49014,53042,53277,-22659,-26099,-28487,-30862,-31993,-25143,-27710,-27727,-26879,-13325,98517,2122,5422,-196270,-126963,-112569,-50223,-51023,-51640,-55171,-51871,-52780,-51303,-27792,-29616,-30103,-29921,-29921,-29980,-29732,-30357,-30009,-17296,-16782,-16265,-15745,-15225,-14697,-14180,-13129,-14330,-13046,-19457,38001,75000
Armenia,ARM,"Population, total",SP.POP.TOTL,1863705,1927484,1991689,2056023,2120135,2183635,2246159,2307492,2367319,2424030,2475633,2525345,2577079,2630860,2686445,2743660,2818165,2912827,3012807,3078501,3107415,3135349,3163144,3191539,3224547,3260432,3294847,3328520,3355125,3443100,3552128,3613977,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.699998482027,-41.8000027457562,-8.7999987932935,5.40000277917656,6.89999841973659,5.86540074943565,3.32107970046953,7.29999998770998,3.30000000058166,5.90000000312092,9.59999999927597,13.1999999979356,14.0000000015501,10.4999999988202,13.8999999991133,13.1999999994661,13.7000000015467,6.90000000042959,-14.1000000006998,2.2000000002151,4.69999999867412,7.20000000096486,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000065645,12.5999999997766,8.29999999959539
Aruba,ABW,Net migration,SM.POP.NETM,-788,-566,-601,-650,-682,-727,-762,-1066,-1128,-1165,-1189,-1205,-548,-308,-240,-287,-701,-728,-745,-758,-756,-547,-413,-405,-535,-751,-954,-1052,-905,-185,879,1949,1294,1660,1664,1782,1813,1867,1958,2010,1226,566,349,329,326,594,634,672,703,743,501,333,317,315,333,373,405,434,431,420,0,503,152,147
Aruba,ABW,"Population, total",SP.POP.TOTL,54922,55578,56320,57002,57619,58190,58694,58990,59069,59052,58950,58781,58047,58299,58349,58295,58368,58580,58776,59191,59909,60563,61276,62228,62901,61728,59931,59159,59331,60443,62753,65896,69005,73685,77595,79805,83021,86301,88451,89659,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.0784313755902,18.6486486682331,12.1298405451924,3.96140172360629,7.96287173232642,5.88235395341866,7.30769324531406,8.20390129312089,2.54714368704694,1.18578851134656,7.04687499241221,1.99198444906199,1.2380418420716,7.62292064930222,4.1820016304779,-0.944953481157384,1.11050459944282,7.29372807096192,-0.383137672063768,1.12741146411624,3.0895443848509,1.83575517191368,-11.6777413693852,-2.73345679250639,3.36923718421511,-1.04079988436683,6.43148260418822,-1.58657513817235,-0.623625902371245,1.71962497989442,7.04853338603499,2.39708527621045,-2.23244039160568,-26.2118207828803,24.1326273569798,8.51791810517545,4.26371941452948
Australia,AUS,Net migration,SM.POP.NETM,85707,64495,58315,73237,91588,118891,110864,80904,100963,108770,256295,223991,54895,62928,56167,25336,32792,44946,45832,52137,89189,121921,111722,73251,79617,98327,113061,136421,153330,144042,100093,68847,40767,23833,51941,80456,82965,67661,81310,92900,111186,117552,108852,104437,110072,131371,191985,249873,275773,235628,166752,197657,235776,215823,200177,212350,254648,255023,226412,207142,44447,116768,140972,140232
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,2.48233047098947,1.29422099669962,6.21617959257419,6.98016602027624,5.98014040053107,2.37900553867696,6.30487825728025,5.093706274426,7.0452741832873,7.17569474653776,4.0005792969926,3.9104527931282,2.6195976089295,4.10711278665762,1.3357695075495,2.5884380278226,3.59512457668694,0.893490698041518,4.0504187128889,3.03565589087171,3.33996423845188,3.32538571540215,-2.22435122536369,4.59374363846101,5.27845501291684,3.96632897039611,2.55962217359244,5.75781883918933,3.87335950546905,3.57741096455418,-0.382260201054848,0.428289544126571,4.04672816534581,3.98038838722397,3.88592623460093,3.86388891398424,3.91324731942255,4.66321460379962,5.02768409342292,3.9215029305806,2.02510553454593,3.97958568067362,3.09076190489348,4.22428481359962,3.15416753184221,2.75534610557227,3.77332171303566,3.58626695226046,1.89255581922549,2.21998026536549,2.40708018291988,3.91670942454073,2.60219339436559,2.59528411594042,2.19016928695221,2.7593859723839,2.27959179820343,2.87846971467883,2.17154505737176,-0.119590735829973,2.11116814768786,4.24238555336139,3.44199220009025
Austria,AUT,Net migration,SM.POP.NETM,-1732,-2760,1509,4774,3646,10719,18656,21285,-6880,5896,10601,32392,36703,34856,-16276,-24253,8336,13245,-8131,-1785,9811,29590,-22711,-1474,2906,5940,6630,1434,13807,46232,59873,77417,71451,33688,3113,1890,4077,1589,8702,19949,17631,39866,37508,44362,55007,50676,25787,24616,25405,18222,22570,31887,45014,56726,74375,115175,65976,45478,35296,41090,39601,52150,157365,4819
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.53797931684524,2.6486751129527,4.13826758157036,6.12435373762845,3.48017491799556,5.64286141093278,3.00804779775507,4.47231278246025,6.27586716607004,7.12287550213442,5.11496855357541,6.2078611051551,4.89043596035867,3.94213770699059,-0.363735292607998,4.57844497517645,5.07998098345728,-0.21065388919402,5.35670023853172,1.73148519893738,-0.144294165528137,2.01125419396571,2.97308791947715,0.0512753237227059,2.49867831437736,2.30139294844854,1.35716793158871,3.29588017003528,3.88707479133701,4.34564169086904,3.44162727027033,2.09352495522575,0.526809413176039,2.40211872158116,2.66798342903378,2.21576743366589,2.14583475947224,3.49288028381332,3.76192445558254,3.18952267859783,1.31698760895746,1.4843689777327,1.14156501477392,2.56525509257357,2.32036526679731,3.26933610602393,3.77522461621224,1.45330559752681,-3.58626477931313,1.8089826696085,2.92746790789693,0.628246179413949,-0.250726545926739,0.755799076892799,1.30352309798889,2.11721967096108,2.27225012037459,2.48422086689928,1.7549764558533,-6.31825528670208,4.79532910551458,5.27789421203715,-0.954962366849259
Azerbaijan,AZE,Net migration,SM.POP.NETM,-148,-171,-183,-192,-1629,-3848,-3848,-3847,-3847,-3847,-3847,-3847,-3847,-3847,-3847,-3847,40241,39074,14836,-24019,-27778,-28276,-28467,-28573,-50685,-57247,-60841,-69061,-25290,-101986,-63324,-49814,-23984,-12224,21376,32139,42667,24475,13101,5300,15938,16252,15068,13153,13486,16431,16909,17112,15047,883,1373,1686,1986,2291,1073,1073,4671,-11324,-37559,384,1073,1073,9086,-84122
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3894500,4045750,4168150,4293550,4439250,4574650,4708150,4832000,4948500,5063300,5172050,5282950,5391450,5493900,5594100,5689050,5781000,5876150,5976150,6071300,6160500,6257750,6357550,6459800,6567850,6670150,6770300,6875350,6974600,7076550,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.700000175699572,-22.6000003264444,-23.0999987188387,-19.7000012399238,-11.7999991076818,1.29999940463827,5.80000014795783,9.99999961153691,7.40000129958564,11.0999991434346,9.89999986533643,9.43891626906561,10.2082994004776,9.25380179728907,27.9615381082131,34.5,24.9999998515683,10.7589780604684,9.29636374447091,5.04894451349574,0.10000013782458,2.1652394748416,5.80980084268208,2.75050681535518,1.09397591627469,-3.09999988037266,0.199999938958655,1.49999999999999,2.50000006743734,-4.30000010230737,5.61645102853028,4.71480236521231,1.12397432709641
"Bahamas, The",BHS,Net migration,SM.POP.NETM,2290,2547,2729,2814,2129,2488,2816,3123,3405,3068,1517,825,296,125,164,323,490,586,563,484,367,125,160,243,302,469,389,326,413,523,241,412,433,445,454,460,454,445,437,418,845,290,636,949,1030,804,1735,1727,1474,1613,1898,1381,1047,1002,1002,1002,1002,1002,1002,1002,0,481,1001,1001
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,116317,122197,128493,135087,141528,147952,154874,162267,170089,177981,184982,190857,196055,200791,205342,209886,214501,219157,223761,228230,232526,236614,240614,244698,248863,253154,257536,261935,266448,271178,275945,280731,285927,291339,296509,301461,306268,310904,315368,319614,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440
