Country Name,Country Code,Year,GDP,Net Migration
IDA & IBRD total,IBT,1960,361892242003.14,-475705.0
IDA total,IDA,1960,43246282845.0915,-70973.0
IDA blend,IDB,1960,11879974957.7978,13791.0
IDA only,IDX,1960,32343504360.8959,-84764.0
India,IND,1960,37029883876.1839,146955.0
Ireland,IRL,1960,1998550221.80554,-38492.0
"Iran, Islamic Rep.",IRN,1960,4199134389.90099,54041.0
Iraq,IRQ,1960,1537252193.09912,1573.0
Iceland,ISL,1960,252169712.042125,-269.0
Israel,ISR,1960,3064824613.79481,10990.0
Italy,ITA,1960,42012422612.3955,-140765.0
Jamaica,JAM,1960,699064380.374248,-28952.0
Japan,JPN,1960,47419238274.4619,-150371.0
Kenya,KEN,1960,791265459.493816,2134.0
St. Kitts and Nevis,KNA,1960,12366635.7500773,-1725.0
"Korea, Rep.",KOR,1960,3958811881.18812,47245.0
Latin America & Caribbean (excluding high income),LAC,1960,68130522456.4681,-240297.0
Liberia,LBR,1960,190495600.0,1886.0
Libya,LBY,1960,401644248.9423,22559.0
Latin America & Caribbean,LCN,1960,84329838400.4279,-299395.0
Least developed countries: UN classification,LDC,1960,28148829117.5064,-165859.0
Low income,LIC,1960,14591716825.8757,-114845.0
Sri Lanka,LKA,1960,1409873949.57983,-12610.0
Lower middle income,LMC,1960,85185625016.4477,-85573.0
Low & middle income,LMY,1960,276980151259.582,-165045.0
Lesotho,LSO,1960,34579986.1680055,1989.0
Late-demographic dividend,LTE,1960,183039562224.255,-422318.0
Luxembourg,LUX,1960,709941874.044355,61.0
Morocco,MAR,1960,2037154741.93211,-19434.0
Madagascar,MDG,1960,673081724.751168,0.0
Middle East & North Africa,MEA,1960,25169910581.9324,-20282.0
Mexico,MEX,1960,13040000000.0,-85591.0
Middle income,MIC,1960,263792074041.094,-50200.0
Myanmar,MMR,1960,545098447.640862,8807.0
Middle East & North Africa (excluding high income),MNA,1960,18009066976.6514,-65459.0
Mauritius,MUS,1960,162089563.829564,-7083.0
Malaysia,MYS,1960,1916229477.13657,-46948.0
North America,NAC,1960,582624755153.847,472345.0
Niger,NER,1960,449526873.29589,-3641.0
Nigeria,NGA,1960,4196174501.5302,12131.0
Nicaragua,NIC,1960,227223322.141537,-2418.0
Netherlands,NLD,1960,13282979014.563,-13235.0
Norway,NOR,1960,5197398721.41367,-1427.0
Nepal,NPL,1960,508334413.965087,-13223.0
New Zealand,NZL,1960,5536098606.29231,3846.0
OECD members,OED,1960,1061139061863.14,276837.0
Oman,OMN,1960,44234653.976659,-2996.0
Pakistan,PAK,1960,3749265014.69971,0.0
Panama,PAN,1960,537147100.0,-2409.0
Peru,PER,1960,2571986572.12719,-7236.0
Philippines,PHL,1960,7515894110.56487,-155354.0
Papua New Guinea,PNG,1960,230496036.879366,-2034.0
Pre-demographic dividend,PRE,1960,24374805009.0909,-92553.0
Puerto Rico,PRI,1960,1691900000.0,-26328.0
Portugal,PRT,1960,3339150157.85605,-95886.0
Paraguay,PRY,1960,288884368.016934,-16811.0
Post-demographic dividend,PST,1960,1036595543314.38,408448.0
Rwanda,RWA,1960,119000024.0,-13198.0
South Asia,SAS,1960,47274328378.8543,138757.0
Saudi Arabia,SAU,1960,1748124063.55556,15000.0
Sudan,SDN,1960,1126364161.7644,2194.0
Senegal,SEN,1960,1003692370.46869,9337.0
Singapore,SGP,1960,704751700.302494,2008.0
Sierra Leone,SLE,1960,322009961.547048,-3528.0
Somalia,SOM,1960,180459936.776025,750.0
Sub-Saharan Africa (excluding high income),SSA,1960,35988399588.8194,-103283.0
Sub-Saharan Africa,SSF,1960,35999878594.0433,-103463.0
Suriname,SUR,1960,99650000.0,544.0
Sweden,SWE,1960,15930258332.069,1080.0
Eswatini,SWZ,1960,35076845.9692616,-2082.0
Seychelles,SYC,1960,12012024.6246505,-180.0
Syrian Arab Republic,SYR,1960,857704413.407821,0.0
Chad,TCD,1960,313582728.147574,-672.0
East Asia & Pacific (IDA & IBRD countries),TEA,1960,80669679176.8241,-102376.0
Togo,TGO,1960,171057069.137772,-13868.0
Thailand,THA,1960,2760750860.62197,6886.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,79359156748.2322,-248967.0
Middle East & North Africa (IDA & IBRD countries),TMN,1960,17842510180.4703,-47797.0
South Asia (IDA & IBRD),TSA,1960,47274328378.8543,138757.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,35999878594.0433,-103463.0
Trinidad and Tobago,TTO,1960,535673252.260337,-5671.0
Turkiye,TUR,1960,7566666666.66667,14948.0
Tanzania,TZA,1960,2651729807.38808,1946.0
Uganda,UGA,1960,423145605.043164,-7586.0
Upper middle income,UMC,1960,179283983325.458,35373.0
Uruguay,URY,1960,1242289239.20493,2057.0
United States,USA,1960,541988586206.897,422708.0
St. Vincent and the Grenadines,VCT,1960,13066634.0000817,-1476.0
"Venezuela, RB",VEN,1960,7663938303.07172,8369.0
World,WLD,1960,1371947205151.18,0.0
South Africa,ZAF,1960,8748596500.5614,18891.0
Zambia,ZMB,1960,698739720.783607,-3898.0
Zimbabwe,ZWE,1960,1052990400.0,-8260.0
Africa Eastern and Southern,AFE,1961,24963977550.732,-38646.0
Africa Western and Central,AFW,1961,12707877772.0913,-36991.0
Arab World,ARB,1961,19997084153.9204,-145513.0
Australia,AUS,1961,19684003149.4405,64495.0
Austria,AUT,1961,7346566037.83392,-2760.0
Burundi,BDI,1961,202999991.80106,15094.0
Belgium,BEL,1961,12561701694.3319,10566.0
Benin,BEN,1961,235668220.508202,-4791.0
Burkina Faso,BFA,1961,350247234.260712,-24687.0
Bangladesh,BGD,1961,4817580375.0,26503.0
"Bahamas, The",BHS,1961,190021993.159208,2547.0
Belize,BLZ,1961,29964999.965,-347.0
Bermuda,BMU,1961,76500000.0,392.0
Bolivia,BOL,1961,406000000.0,-3642.0
Brazil,BRA,1961,17275940449.3837,75.0
Barbados,BRB,1961,85363759.3050333,-3323.0
Botswana,BWA,1961,32902612.8664855,-4168.0
Central African Republic,CAF,1961,123134583.463559,474.0
Canada,CAN,1961,41038192837.9035,34721.0
Switzerland,CHE,1961,11713348834.3069,101278.0
Chile,CHL,1961,4829238095.2381,-27159.0
China,CHN,1961,50056685957.359,-25578.0
Cote d'Ivoire,CIV,1961,618245634.179831,36410.0
Cameroon,CMR,1961,652777608.320492,0.0
"Congo, Dem. Rep.",COD,1961,3086746857.14286,35654.0
"Congo, Rep.",COG,1961,151675738.926342,0.0
Colombia,COL,1961,4540447761.19403,-47849.0
Costa Rica,CRI,1961,490325181.614275,924.0
Caribbean small states,CSS,1961,699601326.176699,-16116.0
Germany,DEU,1961,96558204043.1028,27534.0
Denmark,DNK,1961,7058361229.35415,3012.0
Dominican Republic,DOM,1961,654100200.0,-14511.0
Algeria,DZA,1961,2434747055.94018,-123928.0
East Asia & Pacific (excluding high income),EAP,1961,71139478707.1349,-91793.0
Early-demographic dividend,EAR,1961,161302482593.386,137395.0
East Asia & Pacific,EAS,1961,158406594384.514,-345103.0
Europe & Central Asia,ECS,1961,469110075856.153,-119142.0
Ecuador,ECU,1961,1753850955.05808,-1317.0
"Egypt, Arab Rep.",EGY,1961,4494575422.17787,23184.0
Euro area,EMU,1961,279722204488.921,-197978.0
Spain,ESP,1961,14238126759.7335,-46517.0
Ethiopia,ETH,1961,1680859514.1016,6938.0
European Union,EUU,1961,316579871854.423,-261762.0
Fragile and conflict affected situations,FCS,1961,35668456087.2839,44852.0
Finland,FIN,1961,5984433774.41601,-11828.0
Fiji,FJI,1961,116987784.913739,-943.0
France,FRA,1961,66806595974.7159,128618.0
Gabon,GAB,1961,167637907.122782,0.0
United Kingdom,GBR,1961,77741965703.3544,52295.0
Ghana,GHA,1961,1302674324.88378,-48777.0
Greece,GRC,1961,4892397431.33292,-61102.0
Guatemala,GTM,1961,1076699900.0,797.0
Guyana,GUY,1961,185849535.376162,-5267.0
High income,HIC,1961,1165197112448.35,66833.0
"Hong Kong SAR, China",HKG,1961,1383681651.13776,-244018.0
Honduras,HND,1961,356200000.0,-4838.0
Heavily indebted poor countries (HIPC),HPC,1961,22459725995.3549,-91662.0
Haiti,HTI,1961,271066000.0,-15902.0
IBRD only,IBD,1961,314825492753.68,-265531.0
IDA & IBRD total,IBT,1961,362462403613.599,-347782.0
IDA total,IDA,1961,45696271473.9688,-82251.0
IDA blend,IDB,1961,12720578451.4747,-17921.0
IDA only,IDX,1961,33970460024.7388,-64330.0
India,IND,1961,39232435784.0358,295177.0
Ireland,IRL,1961,2151772979.96956,-22237.0
"Iran, Islamic Rep.",IRN,1961,4426949094.83828,77811.0
Iraq,IRQ,1961,1671960965.21561,2981.0
Iceland,ISL,1961,257703244.559997,164.0
Israel,ISR,1961,3701628227.73845,34482.0
Italy,ITA,1961,46649487320.4225,-129761.0
Jamaica,JAM,1961,748043500.7826,-28416.0
Japan,JPN,1961,57266758179.5883,-58882.0
Kenya,KEN,1961,792959472.816211,4296.0
St. Kitts and Nevis,KNA,1961,12483302.125078,-2256.0
"Korea, Rep.",KOR,1961,2417628736.52655,-93179.0
Latin America & Caribbean (excluding high income),LAC,1961,71345935570.5127,-215599.0
Liberia,LBR,1961,183920900.0,2115.0
Libya,LBY,1961,443905612.037755,22504.0
Latin America & Caribbean,LCN,1961,89709981773.9291,-273883.0
Least developed countries: UN classification,LDC,1961,29432612773.9067,-114799.0
Low income,LIC,1961,14789797831.6894,-66856.0
Sri Lanka,LKA,1961,1444327731.09244,-10144.0
Lower middle income,LMC,1961,90809724342.6027,-9744.0
Low & middle income,LMY,1961,275467988962.025,-71335.0
Lesotho,LSO,1961,35699985.7200057,2100.0
Late-demographic dividend,LTE,1961,170099892398.301,-398946.0
Luxembourg,LUX,1961,710163719.406917,1969.0
Morocco,MAR,1961,2025693539.55842,-40413.0
Madagascar,MDG,1961,699161944.558097,0.0
Middle East & North Africa,MEA,1961,26730873312.6987,-41709.0
Mexico,MEX,1961,14160000000.0,-56174.0
Middle income,MIC,1961,262100046400.545,-4479.0
Myanmar,MMR,1961,605581577.287066,11972.0
Middle East & North Africa (excluding high income),MNA,1961,18550938512.682,-115117.0
Mauritania,MRT,1961,159213430.204754,-332.0
Mauritius,MUS,1961,191757729.477729,-8984.0
Malaysia,MYS,1961,1901856122.72231,-44916.0
North America,NAC,1961,603055003182.732,615446.0
Niger,NER,1961,485785230.978987,-2893.0
Nigeria,NGA,1961,4467287893.08484,25515.0
Nicaragua,NIC,1961,244144236.65331,-2579.0
Netherlands,NLD,1961,14599836396.388,8258.0
Norway,NOR,1961,5669689210.3186,1437.0
Nepal,NPL,1961,531959561.62226,-10601.0
New Zealand,NZL,1961,5721995118.28133,10689.0
OECD members,OED,1961,1131592693045.78,379251.0
Oman,OMN,1961,45634484.7987052,-2996.0
Pakistan,PAK,1961,4118647627.04746,-66991.0
Panama,PAN,1961,599026300.0,-2394.0
Peru,PER,1961,2897852693.27494,-7063.0
Philippines,PHL,1961,8171194424.94498,-143597.0
Papua New Guinea,PNG,1961,244832039.173126,-10409.0
Pre-demographic dividend,PRE,1961,25267764846.1585,-36531.0
Puerto Rico,PRI,1961,1865100000.0,-18268.0
Portugal,PRT,1961,3573719084.53354,-112768.0
Paraguay,PRY,1961,322053713.15873,-16972.0
Post-demographic dividend,PST,1961,1104130301310.45,240405.0
Rwanda,RWA,1961,122000016.0,-20508.0
South Asia,SAS,1961,50467431650.1184,241595.0
Saudi Arabia,SAU,1961,1920811284.22222,15000.0
Sudan,SDN,1961,1222860428.55503,3904.0
Senegal,SEN,1961,1058975256.97025,9549.0
Singapore,SGP,1961,764629788.123689,3490.0
Sierra Leone,SLE,1961,327834190.577094,-2947.0
Somalia,SOM,1961,191659914.376034,1336.0
Sub-Saharan Africa (excluding high income),SSA,1961,37518094290.3319,-75484.0
Sub-Saharan Africa,SSF,1961,37529010103.7958,-75637.0
Suriname,SUR,1961,107700000.0,660.0
Sweden,SWE,1961,17329819493.9904,14401.0
Eswatini,SWZ,1961,43026042.7895829,-2270.0
Seychelles,SYC,1961,11592023.7636487,-153.0
Syrian Arab Republic,SYR,1961,945244972.067039,-11237.0
Chad,TCD,1961,333975336.110722,-760.0
East Asia & Pacific (IDA & IBRD countries),TEA,1961,71066638102.6938,-91738.0
Togo,TGO,1961,178497098.264275,-14858.0
Thailand,THA,1961,3034037810.96795,14968.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,84319336310.137,-224948.0
Middle East & North Africa (IDA & IBRD countries),TMN,1961,18379370219.3978,-96893.0
South Asia (IDA & IBRD),TSA,1961,50467431650.1184,241595.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,37529010103.7958,-75637.0
Trinidad and Tobago,TTO,1961,584964620.678045,-8200.0
Tunisia,TUN,1961,866155428.571429,-61369.0
Turkiye,TUR,1961,7988888888.88889,-26187.0
Tanzania,TZA,1961,2826179031.22839,8338.0
Uganda,UGA,1961,441667334.611947,-7893.0
Upper middle income,UMC,1961,170671429477.285,5265.0
Uruguay,URY,1961,1547388781.43133,703.0
United States,USA,1961,561940310344.828,580333.0
St. Vincent and the Grenadines,VCT,1961,13999965.0000875,-1647.0
"Venezuela, RB",VEN,1961,8067267030.61863,6069.0
World,WLD,1961,1445950587026.22,0.0
South Africa,ZAF,1961,9225996309.60148,57728.0
Zambia,ZMB,1961,682359727.329053,-4043.0
Zimbabwe,ZWE,1961,1096646600.0,-8204.0
Africa Eastern and Southern,AFE,1962,27078797298.7705,-56414.0
Africa Western and Central,AFW,1962,13630758805.127,-31675.0
Arab World,ARB,1962,20327670691.7473,-120111.0
Argentina,ARG,1962,24450604877.6081,31449.0
Australia,AUS,1962,19923683187.7893,58315.0
Austria,AUT,1962,7793042529.15992,1509.0
Burundi,BDI,1962,213500005.79077,-15378.0
Belgium,BEL,1962,13436827166.5187,14829.0
Benin,BEN,1962,236434954.038578,-4844.0
Burkina Faso,BFA,1962,379567099.249422,-26040.0
Bangladesh,BGD,1962,5081413541.66667,26533.0
"Bahamas, The",BHS,1962,212169992.36188,2729.0
Belize,BLZ,1962,31857591.8575919,-450.0
Bermuda,BMU,1962,80700000.0,360.0
Bolivia,BOL,1962,443916666.666667,-4026.0
Brazil,BRA,1962,19231747851.5332,-7171.0
Barbados,BRB,1962,88782583.4232151,-3327.0
Botswana,BWA,1962,35644956.6430429,-4028.0
Central African Republic,CAF,1962,124482773.83306,474.0
Canada,CAN,1962,42336211555.8268,35373.0
Switzerland,CHE,1962,12989649694.2812,82798.0
Chile,CHL,1962,5631285444.2344,-28023.0
China,CHN,1962,47209186415.3555,-31305.0
Cote d'Ivoire,CIV,1962,645284473.733691,39670.0
Cameroon,CMR,1962,694247864.3789,0.0
"Congo, Dem. Rep.",COD,1962,3779841428.57143,39431.0
"Congo, Rep.",COG,1962,166521239.650243,0.0
Colombia,COL,1962,4955538218.81618,-50108.0
Costa Rica,CRI,1962,479180824.348506,934.0
Caribbean small states,CSS,1962,750604794.623785,-12361.0
Germany,DEU,1962,105895435234.343,276505.0
Denmark,DNK,1962,7953274741.29303,3900.0
Dominican Republic,DOM,1962,824100000.0,-15389.0
Algeria,DZA,1962,2001444543.91885,-112676.0
East Asia & Pacific (excluding high income),EAP,1962,64884938431.8407,-99033.0
Early-demographic dividend,EAR,1962,165738639752.642,-182048.0
East Asia & Pacific,EAS,1962,162133212500.345,-418395.0
Europe & Central Asia,ECS,1962,513039887672.594,250566.0
Ecuador,ECU,1962,1518207703.48997,-1315.0
"Egypt, Arab Rep.",EGY,1962,4035461921.91963,25696.0
Euro area,EMU,1962,309382572881.59,173898.0
Spain,ESP,1962,16609632790.5843,-45211.0
Ethiopia,ETH,1962,1747566307.0997,8960.0
European Union,EUU,1962,349909662392.141,92127.0
Fragile and conflict affected situations,FCS,1962,39417208511.7769,13294.0
Finland,FIN,1962,6407796042.70357,-6852.0
Fiji,FJI,1962,122906434.957814,-889.0
France,FRA,1962,74888595285.8833,141634.0
Gabon,GAB,1962,182796536.266025,0.0
United Kingdom,GBR,1962,81247564156.8246,76443.0
Ghana,GHA,1962,1382515654.47343,-48017.0
Equatorial Guinea,GNQ,1962,37253333.3333333,528.0
Greece,GRC,1962,5140542929.42067,-74972.0
Guatemala,GTM,1962,1143600000.0,713.0
Guyana,GUY,1962,194949512.626218,-5379.0
High income,HIC,1962,1260147954624.25,449322.0
"Hong Kong SAR, China",HKG,1962,1612346412.26475,-307666.0
Honduras,HND,1962,387750000.0,-5519.0
Heavily indebted poor countries (HIPC),HPC,1962,24435087668.3335,-121315.0
Haiti,HTI,1962,281896800.0,-16253.0
IBRD only,IBD,1962,322057205168.551,-612485.0
IDA & IBRD total,IBT,1962,373895791767.962,-703464.0
IDA total,IDA,1962,49174101280.0693,-90979.0
IDA blend,IDB,1962,13604070957.801,-7207.0
IDA only,IDX,1962,36658956625.1644,-83772.0
India,IND,1962,42161481858.0819,-70514.0
Ireland,IRL,1962,2329372971.89171,-17438.0
"Iran, Islamic Rep.",IRN,1962,4693566416.48845,96332.0
Iraq,IRQ,1962,1784174540.73018,3343.0
Iceland,ISL,1962,289200704.382542,-228.0
Israel,ISR,1962,2960588778.14489,52313.0
Italy,ITA,1962,52413872628.0045,-25840.0
Jamaica,JAM,1962,777727688.908924,-27936.0
Japan,JPN,1962,64987857541.6256,-57075.0
Kenya,KEN,1962,868111400.75544,4521.0
St. Kitts and Nevis,KNA,1962,12541635.3125784,-2331.0
"Korea, Rep.",KOR,1962,2814615384.61538,-94606.0
Kuwait,KWT,1962,1828107502.79955,27417.0
Latin America & Caribbean (excluding high income),LAC,1962,77595201159.5018,-235171.0
Liberia,LBR,1962,191861800.0,2189.0
Libya,LBY,1962,619725784.909686,21589.0
Latin America & Caribbean,LCN,1962,98261282126.6901,-300088.0
Least developed countries: UN classification,LDC,1962,31868585551.1676,-144783.0
Low income,LIC,1962,16516574417.9939,-94408.0
Sri Lanka,LKA,1962,1434156378.60082,-8909.0
Lower middle income,LMC,1962,92221724755.3395,-359381.0
Low & middle income,LMY,1962,282503517974.814,-447951.0
Lesotho,LSO,1962,41859983.2560067,2172.0
Late-demographic dividend,LTE,1962,173284405279.324,-385831.0
Luxembourg,LUX,1962,747846862.209673,2014.0
Morocco,MAR,1962,2379611124.61442,-28071.0
Madagascar,MDG,1962,739286907.592778,0.0
Middle East & North Africa,MEA,1962,26352479345.5813,19300.0
Mexico,MEX,1962,15200000000.0,-59833.0
Middle income,MIC,1962,267576849076.902,-353543.0
Myanmar,MMR,1962,634528872.02036,13546.0
Middle East & North Africa (excluding high income),MNA,1962,18760297827.3751,-74869.0
Mauritania,MRT,1962,164271557.513473,-342.0
Mauritius,MUS,1962,197738207.858208,-6107.0
Malaysia,MYS,1962,2001489602.18475,-43033.0
North America,NAC,1962,646056325348.93,661350.0
Niger,NER,1962,531736599.250464,-2369.0
Nigeria,NGA,1962,4909399176.24033,27906.0
Nicaragua,NIC,1962,269283803.686825,-2727.0
Netherlands,NLD,1962,15847582341.1664,18024.0
Norway,NOR,1962,6107076928.63372,655.0
Nepal,NPL,1962,574091101.194382,-9249.0
New Zealand,NZL,1962,6133158804.52258,12697.0
OECD members,OED,1962,1223654398321.52,779676.0
Oman,OMN,1962,56273199.0462561,-2996.0
Pakistan,PAK,1962,4310163796.72407,-65780.0
Panama,PAN,1962,652120900.0,-2377.0
Peru,PER,1962,3284322201.27831,-9051.0
Philippines,PHL,1962,4954593071.82796,-150903.0
Papua New Guinea,PNG,1962,261184041.789447,-12141.0
Pre-demographic dividend,PRE,1962,27678330205.0258,-61414.0
Puerto Rico,PRI,1962,2094400000.0,-20180.0
Portugal,PRT,1962,3835883663.25123,-113947.0
Paraguay,PRY,1962,360698412.698413,-16175.0
Post-demographic dividend,PST,1962,1194534299892.05,574040.0
Rwanda,RWA,1962,125000008.0,-25594.0
South Asia,SAS,1962,53905757720.8105,-118887.0
Saudi Arabia,SAU,1962,2130606531.77778,15000.0
Sudan,SDN,1962,1328259624.72217,4387.0
Senegal,SEN,1962,1085475790.59112,9809.0
Singapore,SGP,1962,826239211.817511,3714.0
Sierra Leone,SLE,1962,342721416.490967,-2658.0
Somalia,SOM,1962,203531927.547229,1496.0
Sub-Saharan Africa (excluding high income),SSA,1962,40549575981.7617,-87961.0
Sub-Saharan Africa,SSF,1962,40561501231.8664,-88089.0
Suriname,SUR,1962,116150000.0,4703.0
Sweden,SWE,1962,18794282716.8476,9627.0
Eswatini,SWZ,1962,45927961.6288154,-2390.0
Seychelles,SYC,1962,12642025.9161531,-128.0
Syrian Arab Republic,SYR,1962,1110565880.75881,-11641.0
Chad,TCD,1962,357635713.41932,-890.0
East Asia & Pacific (IDA & IBRD countries),TEA,1962,64818501929.6285,-98929.0
Togo,TGO,1962,186745757.859216,-15486.0
Thailand,THA,1962,3308912796.93487,16605.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,92280330980.7195,-243423.0
Middle East & North Africa (IDA & IBRD countries),TMN,1962,18586793275.1636,-55898.0
South Asia (IDA & IBRD),TSA,1962,53905757720.8105,-118887.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,40561501231.8665,-88089.0
Trinidad and Tobago,TTO,1962,619322809.768256,-8982.0
Tunisia,TUN,1962,880027733.333333,-61260.0
Turkiye,TUR,1962,8922222222.22222,-34353.0
Tanzania,TZA,1962,3101589992.664,3916.0
Uganda,UGA,1962,449158233.391351,-6470.0
Upper middle income,UMC,1962,174832411101.594,5838.0
Uruguay,URY,1962,1710004407.22785,-623.0
United States,USA,1962,603639413793.103,625617.0
St. Vincent and the Grenadines,VCT,1962,14524963.6875908,-1749.0
"Venezuela, RB",VEN,1962,8814309884.21165,4386.0
World,WLD,1962,1550597670600.03,0.0
South Africa,ZAF,1962,9813996074.40157,69771.0
Zambia,ZMB,1962,679279728.55982,-4428.0
Zimbabwe,ZWE,1962,1117601600.0,-8529.0
Africa Eastern and Southern,AFE,1963,31775749181.2381,-42809.0
Africa Western and Central,AFW,1963,14469094143.8508,-32310.0
Arab World,ARB,1963,22362957617.8194,-162496.0
Argentina,ARG,1963,18272123664.4715,32866.0
Australia,AUS,1963,21540963446.5541,73237.0
Austria,AUT,1963,8414050621.01716,4774.0
Burundi,BDI,1963,232749997.771905,-11502.0
Belgium,BEL,1963,14445805381.3872,16355.0
Benin,BEN,1963,253927697.25805,-4847.0
Burkina Faso,BFA,1963,394040667.106335,-26382.0
Bangladesh,BGD,1963,5319458562.5,23215.0
"Bahamas, The",BHS,1963,237649991.4446,2814.0
Belize,BLZ,1963,33750113.7501138,-170.0
Bermuda,BMU,1963,82600000.0,345.0
Bolivia,BOL,1963,478000000.0,-4233.0
Brazil,BRA,1963,23287712878.2002,-8136.0
Barbados,BRB,1963,99893761.2239743,-3303.0
Botswana,BWA,1963,38091842.8546863,-4000.0
Central African Republic,CAF,1963,129379123.76305,474.0
Canada,CAN,1963,45140337826.9869,51831.0
Switzerland,CHE,1963,14283872299.0456,58415.0
Chile,CHL,1963,5591307028.36005,-29082.0
China,CHN,1963,50706614526.1472,-31383.0
Cote d'Ivoire,CIV,1963,761047198.029653,40125.0
Cameroon,CMR,1963,718320845.044338,0.0
"Congo, Dem. Rep.",COD,1963,6213185742.57426,41960.0
"Congo, Rep.",COG,1963,172233430.657858,0.0
Colombia,COL,1963,4836166666.66667,-52631.0
Costa Rica,CRI,1963,511902136.809973,938.0
Caribbean small states,CSS,1963,782562091.670508,-12862.0
Germany,DEU,1963,112232503744.1,205976.0
Denmark,DNK,1963,8466044979.87996,594.0
Dominican Republic,DOM,1963,940799900.0,-15889.0
Algeria,DZA,1963,2702982017.63803,-124175.0
East Asia & Pacific (excluding high income),EAP,1963,70180391290.8683,-117879.0
Early-demographic dividend,EAR,1963,175832421253.226,-114089.0
East Asia & Pacific,EAS,1963,180953395655.592,-435635.0
Europe & Central Asia,ECS,1963,561049368761.041,176860.0
Ecuador,ECU,1963,1824343870.71407,-1254.0
"Egypt, Arab Rep.",EGY,1963,4187146119.1343,25109.0
Euro area,EMU,1963,340512613271.49,135338.0
Spain,ESP,1963,19631714759.6491,-44446.0
Ethiopia,ETH,1963,1825058827.83853,9418.0
European Union,EUU,1963,384453227477.224,69020.0
Fragile and conflict affected situations,FCS,1963,45049610945.4602,19703.0
Finland,FIN,1963,6958916548.12933,-7624.0
Fiji,FJI,1963,129454728.623599,-838.0
France,FRA,1963,83957182115.028,190925.0
Gabon,GAB,1963,154480244.055222,0.0
United Kingdom,GBR,1963,86561961812.3249,8271.0
Ghana,GHA,1963,1540797588.57221,-46516.0
Equatorial Guinea,GNQ,1963,44266666.6666667,632.0
Greece,GRC,1963,5813285626.64404,-77345.0
